articulationpoint	averagebetweenness	averagecloseness	averagenodeconnectivity	averageeccentricity	averagepathlength	clusteringcoefficient	cohesiveness	compactness	globalefficiency	networkcentralization	networkdensity	networkdiameter	networkheterogeneity
ETS2	1	7312.98140807851	4.03626855516826e-05	27.1291053227633	4.22885994714987	2.3804589727378	0.0316815644713658	0.999999652125634	28.3391114014716	0.439833482055537	0.773371486047875	0.00256055736883089	6	3.67013139060769
SMAD7	1	7313.0727633069	4.03624519262223e-05	27.1181577953945	4.22885994714987	2.38047621770777	0.0316721041981364	0.999999651985198	28.344475142076	0.439830856710762	0.773372519320869	0.00255952409583714	6	3.67146089303093
GRB10	1	7313.03869384675	4.03625162706462e-05	27.126462816157	4.22885994714987	2.38046978647414	0.0316798814637491	0.999999652091746	28.3362024978422	0.439831632259348	0.773371735458598	0.00256030795810826	6	3.6704175752515
KIT	1	7313.0040581352	4.03626236956987e-05	27.120422801057	4.22885994714987	2.38046324835019	0.0316689046187767	0.999999652014263	28.3415318405848	0.439832573190987	0.773372305540249	0.00255973787645654	6	3.67131407851066
NOTCH4	1	7312.97159305396	4.03627156116364e-05	27.1313703284258	4.22885994714987	2.38045711997244	0.0316835496783319	0.999999652154676	28.3435149815681	0.439833865079146	0.773371272267256	0.00256077114945029	6	3.66989120174897
PIM1	1	7313.03907134767	4.0362515342512e-05	27.1266515666289	4.22885994714987	2.38046985773434	0.0316831883055597	0.999999652094167	28.3467451500422	0.439831633743935	0.773371717643546	0.00256032577315988	6	3.67035369152964
RAB8A	1	7313.09201585498	4.03624446047591e-05	27.1253303133258	4.22914307285768	2.3804798519783	0.0316810059650235	0.999999652077221	28.3419261605086	0.439831293773357	0.773371842348907	0.00256020106779856	6	3.6706280093459
FLT1	3	7308.60343525859	4.03749998025847e-05	27.126462816157	4.22791619479049	2.38015353498284	0.0316799594162843	0.999999652091746	28.3452499630338	0.439713280338638	0.773371735458598	0.00256030795810826	6	3.67057157895622
ATR	1	7313.03152132879	4.03625436940185e-05	27.1177802944507	4.22885994714987	2.38046843253021	0.0316652005839496	0.999999651980354	28.3254873343159	0.43983172014693	0.773372554950972	0.00255948846573391	6	3.67147094335836
ERG	1	7313.0810683277	4.03624026612862e-05	27.1153265383163	4.22885994714987	2.38047778543231	0.0316655164955583	0.99999965194886	28.3253752844148	0.439830225464102	0.773372786546643	0.00255925687006289	6	3.67161232829555
