Interactor_A	Interactor_B
PRKCZ	PARD6B
SMAD1	TTF1
AP2A2	SMAD1
EWSR1	SMAD1
SMAD1	STARD13
INPP4A	SMAD1
APBB1	LRP1
AKR1B1	SMAD1
SMAD1	PIGQ
SMAD1	PUM1
SMAD1	ANKRD27
SMAD1	ICK
SMAD1	ZDHHC3
SMAD1	SMARCE1
DLG4	LRP1
PSMB8	LSM1
SMAD1	ZNF510
MAF	MYB
LRP1	MAPK8IP1
EP300	MAF
MAF	SOX9
SMAD1	PSMD1
SMAD1	ZNF76
LRP1	GIPC1
SMAD1	HBP1
SMAD1	SNRNP70
EIF3C	SNIP1
LRP1	ITGB1BP1
RAB3A	RABGGTB
ARAF	RABGGTB
RABGGTB	PTP4A2
UBE2B	RAD18
LRP1	MAPK8IP2
RDX	CPNE1
RDX	CPNE2
RDX	GNA13
RAB3A	CASK
CHM	RAB3A
RAB3A	RABIF
RAB3A	RABAC1
RAB3A	RAB3IP
LRP1	SYNJ2BP
LRP1	ANAPC10
RAB1A	GOLGA5
RAB1A	USO1
RAB1A	MICALL1
ATN1	ALG13
RAB2A	BLZF1
RAB4A	DYNLL1
RAB4A	CD2AP
RAB4A	RABAC1
RAB4A	RAB11FIP1
RAB4A	DYNC1LI1
RAB4A	RUFY1
NR2F6	NR2F2
RAB5A	RABEP1
RAB5A	RABAC1
RAB5A	EEA1
RAB5A	RIN1
RAB5A	RIN2
BICD1	RAB6A
RAB6A	RABAC1
RAB6A	ERC1
RAB6A	RABGAP1
DCTN1	RAB6A
RAB6A	KIF20A
RAB6A	BICD2
NR2F2	SQSTM1
RAB5B	EEA1
RAB5B	RIN1
RAB5B	RIN3
RAB5B	RIN2
RALGDS	RAP1A
RAP1A	RGS14
PDE6D	RAP1A
KRIT1	RAP1A
RAP1A	RABAC1
RAP1A	RAP1GDS1
RAP1A	RASIP1
RAP1A	APBB1IP
RALGDS	RAP2A
RAP2A	RGS14
RAP2A	RASSF5
RAP2A	RASIP1
RAP2A	TNIK
RALGDS	RAP2B
PDE6D	RAP2B
NR2F2	PIAS1
RALA	RASSF5
RALA	RALBP1
RALA	REPS1
AQP1	EPHB2
RALA	EXOC8
RALA	EXOC2
CALM1	RALA
PPP1CA	ZFYVE9
AQP1	PICK1
RALB	RALBP1
CALM1	RALB
ATN1	RBM10
PTPRF	PPFIA1
LAPTM5	UBAC1
EPRS	RARS
BRCA2	RAD51
RAD51	SUMO1
RAD51	RAD51AP1
RAD51	UBE2I
ATN1	LTBP4
RCC1	RANBP3
ATN1	NCK2
ATN1	SYVN1
RPA2	UNG
RPA2	SERTAD3
PAFAH1B1	CLIP1
