Interactor_A	Interactor_B
EFTUD2	LSM8
FN1	EFTUD2
ESR1	EFTUD2
HSP90AA1	EFTUD2
TOP1	EFTUD2
VCAM1	EFTUD2
ARRB2	EFTUD2
EFTUD2	EIF4A3
GSK3B	EFTUD2
HDGF	EFTUD2
EFTUD2	GABARAPL2
MAGOH	EFTUD2
IK	EFTUD2
PRPF4B	EFTUD2
EFTUD2	SNW1
EFTUD2	SF3B4
SF3A2	EFTUD2
EFTUD2	USP39
EFTUD2	LRRK2
EFTUD2	PRPF8
EFTUD2	SNRNP40
CDC5L	EFTUD2
EFTUD2	GABARAPL1
EFTUD2	MAP1LC3A
EFTUD2	PIH1D1
EFTUD2	FKBPL
YWHAB	R3HDM1
TK1	HERC3
ABL1	SNX17
FYN	SNX17
NCK1	SNX17
PIK3R1	SNX17
CRK	SNX17
DAZAP2	RBFOX2
CDK4	DAZAP2
CXCL12	DAZAP2
UBA52	DAZAP2
SQSTM1	DAZAP2
LASP1	DAZAP2
DAZAP2	WDR73
DAZAP2	CEP70
DAZAP2	RNF208
DAZAP2	PEF1
DAZAP2	MED31
MAGED1	DAZAP2
HMGCL	ARL6IP1
YWHAZ	ARL6IP1
SNX1	ARL6IP1
ARL6IP1	ACSF2
RAB3GAP1	MAP1LC3A
SLC39A14	TMEM173
KARS	MYC
FN1	KARS
GAPDH	KARS
EPRS	KARS
KARS	LAMB1
CD37	KARS
KARS	GABARAPL2
KARS	AIMP1
ICT1	KARS
KARS	NEDD8
KARS	GABARAPL1
SGTA	SETDB1
APC	SETDB1
AKT2	SETDB1
CDKN1A	SETDB1
SETDB1	CBX5
BID	SETDB1
MLF1	SETDB1
SETDB1	CHAF1A
SETDB1	LRIF1
SETDB1	MZT2B
SETDB1	ZDHHC17
PCYT2	SETDB1
SETDB1	MPHOSPH8
DNMT3B	SETDB1
SETDB1	FKBPL
MBD1	SETDB1
SETDB1	LUC7L2
SETDB1	MAP4K5
DNMT3A	SETDB1
LRRC14	COPS6
LRRC14	COPS5
GABARAP	RRS1
IQCB1	PTBP3
IQCB1	MAP1LC3A
IQCB1	HDAC6
ARRB2	ARHGEF6
MCM7	ARHGEF6
CDC42	ARHGEF6
MDM2	ARHGEF6
PAK1	ARHGEF6
POLD1	POLD3
POLD3	WRNIP1
FN1	EIF4H
VCAM1	EIF4H
MCC	EIF4H
EIF4A1	EIF4H
EIF4H	LIN54
HSPB1	ACAP2
BRD3	MAP1LC3B
MCM7	WDR43
ACOX1	PEX14
ACOX1	TYSND1
ACOX1	GABARAPL1
OXA1L	AGO2
OXA1L	CBLC
LRP6	EEA1
EEA1	SAMD9
EEA1	SAMD9L
EEA1	ALS2
EEA1	CAPN7
MAPK13	PDIA6
PDIA6	GABARAP
FN1	PDIA6
HSPA5	PDIA6
H2AFX	PDIA6
CD9	PDIA6
PDIA6	GABARAPL2
PDIA6	PRDX4
CASP8	PDIA6
PDIA6	MAP1LC3B
PDIA6	GABARAPL1
PDIA6	MAP1LC3A
PAFAH1B3	VCAM1
PAFAH1B3	SUMO2
PAFAH1B3	TUBB2A
PAFAH1B3	RBM48
PAFAH1B3	RIF1
PAFAH1B3	UBE2O
B2M	PCOLCE
ICT1	PDK3
PDPK1	PEA15
PEA15	IQCB1
MITF	EBP
SSB	PMVK
VCAM1	PMVK
PMVK	CENPH
CDK10	STIP1
CDK10	CDC37
PLEC	PTBP3
ESR1	PLEC
PLEC	VCAM1
MCM7	PLEC
GRB2	PLEC
PLEC	TJP1
PLEC	SQSTM1
PLEC	SNW1
PLEC	PAN2
PLEC	KCTD13
PLEC	TAF15
CDC5L	PLEC
PLEC	MAP1LC3B
PLEC	GABARAPL1
PLEC	PLEKHA5
PLEC	USP20
PCM1	CASK
PCM1	CEP290
PCM1	PTBP3
PCM1	PKM
PCM1	VCAM1
GSK3B	PCM1
PCM1	YWHAZ
BBS1	PCM1
PCM1	FOPNL
PCM1	SAV1
PCM1	SSX2IP
BAG6	NOMO1
NOMO1	SMURF2
ERBB3	PON2
MAPK14	TCEAL1
PPP2R5A	AXIN1
MYC	PPP2R5A
PPP2R5A	CBX5
PPP2R5A	SET
PPP2R5A	SGOL2
PPP2R5A	DZIP1
MAP3K3	PPP2R5A
PPP2R1A	PPP2R5B
PPP2R5B	IER3
PPP2R5B	DZIP1
PPA1	MAPK13
PPA1	GABARAP
PPA1	VCAM1
PPA1	MAP1LC3A
PTGES3	AGO2
AIP	PTGES3
PTGES3	POLR3A
URI1	PTGES3
FN1	PTGES3
NR3C1	PTGES3
HSPB1	PTGES3
VCAM1	PTGES3
PPP5C	PTGES3
FKBP4	PTGES3
PPID	PTGES3
FKBP5	PTGES3
PTGES3	FKBP8
SURF1	PTGES3
PTGES3	TRIM56
PTGES3	AGO4
NOD1	PTGES3
DYRK1B	PTGES3
GTF2F2	STK38
YWHAB	STK38
MTOR	STK38
ARRB1	STK38
STK38	RICTOR
STK38	MAPKAP1
STK38	MOB1A
STK38	AGO3
CTDP1	STK38
PVRL1	PVRL4
NONO	MED19
NONO	BHLHE40
NONO	MAPK13
MYC	NONO
HNRNPA1	NONO
NONO	TOP1
H2AFX	NONO
NONO	VCAM1
ARRB2	NONO
MLH1	NONO
NONO	YLPM1
GRB2	NONO
NONO	YBX1
EWSR1	NONO
NONO	SNW1
NONO	RNF43
NONO	PSPC1
CDC5L	NONO
NONO	MED10
NONO	MAP1LC3A
NONO	MED9
NONO	MED29
NONO	IRAK3
MET	PTPRK
GHR	PTPRK
CBL	PTPRK
CSK	PTPRK
PTPRK	PXN
CSNK2B	PTPRK
GIT2	QPRT
YWHAH	RABEP1
TRIM26	RABEP1
SLMAP	RABEP1
LATS1	RAB35
FN1	RAB35
VCAM1	RAB35
ATP6V1A	RAB35
CDC42	RAB35
RAC1	RAB35
IQCB1	RAB35
RAB35	AMOT
RAB35	MICALL1
RNPS1	MED19
GEMIN2	RNPS1
PRPF4	RNPS1
PRPF3	RNPS1
RNPS1	HTRA2
RNPS1	NUDT21
PFDN1	RNPS1
RNPS1	PRPF40A
RNPS1	SF3B1
RNPS1	SNRNP200
RNPS1	PRPF6
RNPS1	LUC7L3
AP2A1	RNPS1
SNRPB2	RNPS1
SNRNP70	RNPS1
SNRPA	RNPS1
CSNK2A2	RNPS1
CDK11B	RNPS1
RNPS1	U2AF2
EIF4A3	RNPS1
KHK	RNPS1
RARS	RNPS1
RNPS1	GEMIN4
PSME3	RNPS1
MAGOH	RNPS1
SNRPG	RNPS1
AP2B1	RNPS1
CSNK2B	RNPS1
CSNK2A1	RNPS1
PIP4K2B	RNPS1
ERH	RNPS1
SRSF2	RNPS1
AKAP17A	RNPS1
DST	RNPS1
SRSF11	RNPS1
SFSWAP	RNPS1
PPIG	RNPS1
RNPS1	SF3B2
PRPF4B	RNPS1
EFTUD2	RNPS1
RNPS1	SF3B3
RNPS1	CPSF6
RNPS1	RANBP10
RNPS1	ZC3H18
RNPS1	ARMC8
SRRM1	RNPS1
RNPS1	NKAP
RNPS1	PRPF38A
RNPS1	SNIP1
RNPS1	GEMIN5
RNPS1	SREK1
RNPS1	MYO18A
DHX38	RNPS1
USP7	RNPS1
RNPS1	PGAM5
RNPS1	ZFP91
RANBP9	RNPS1
RNPS1	CCNL2
SRPK1	RNPS1
RNPS1	RBM42
RNPS1	C1orf35
DDX23	RNPS1
RNPS1	SRRT
RNPS1	UPF3B
RNPS1	WDR33
RNPS1	DDX24
RNPS1	UPF3A
PNN	RNPS1
RNPS1	MAP1LC3A
RNPS1	WDR26
RNPS1	NRDE2
RNPS1	LUC7L
RNPS1	GID8
BCLAF1	RNPS1
RNPS1	CPSF2
NFKBIL1	RNPS1
RNPS1	DDX20
RNPS1	DDX41
RNPS1	GPATCH8
RNPS1	ACIN1
MKLN1	RNPS1
RNPS1	SRRM2
RNPS1	EPB41L3
THRAP3	RNPS1
RNPS1	LUC7L2
RNPS1	STRAP
RBM8A	RNPS1
RNPS1	SNX9
RBBP5	OGT
ESR1	RBBP5
RBBP5	TP53
CTBP1	RBBP5
RBBP5	SNW1
RBBP5	WDR82
RBBP5	PAXIP1
RBBP5	KMT2C
CDC5L	RBBP5
RBBP5	KAT8
RBBP5	CHD8
RBBP5	CXXC1
RBBP5	ASH2L
RBBP5	TBK1
RBBP5	HCFC2
RCN1	ZWINT
MYC	RCN1
HSPA5	RCN1
MLF1	RCN1
RCN1	HDAC11
RCN1	DYRK4
ERBB4	PIK3R2
ERBB4	NCK2
ABL1	ERBB4
ERBB4	HSP90AA1
ERBB4	RASA1
CFL1	ERBB4
ERBB4	PTPN11
ERBB4	TRO
ERBB4	ANKS1A
ERBB4	NUDCD1
ERBB4	WWOX
UBC	RALBP1
NUMB	RALBP1
IKBKG	RALBP1
NCOR1	ZMYND11
SMAD3	ZMYND11
TRAF1	ZMYND11
TRAF3	ZMYND11
SRPK1	ZMYND11
E2F5	RB1
E2F5	RBL2
E2F5	LIN54
LLGL1	GABARAP
LLGL1	GABARAPL2
LLGL1	PARD3
LLGL1	KBTBD7
LLGL1	PARD6G
LLGL1	PARD6B
LLGL1	GABARAPL1
LLGL1	MAP1LC3A
HSP90AB1	RPS6KA2
PRKCA	RPS6KA2
MAPK3	RPS6KA2
MAPK1	RPS6KA2
CSNK2B	RPS6KA2
RPS6KA1	RPS6KA2
SEC24A	TMED2
CD59	TMED2
AKT2	TMED2
SEC24C	TMED2
CAV1	TMED2
SEC23A	TMED2
TMED2	ATL1
TMED2	NCSTN
PCBP1	PRPF3
PCBP1	GABARAP
PCBP1	CELF2
MYC	PCBP1
ATF2	PCBP1
HMGA1	PCBP1
PCBP1	VCAM1
PCBP1	ANP32A
PCBP1	SRPK2
PCBP1	SRSF3
PCBP1	SF3A2
PCBP1	PRPF8
PCBP1	HNRNPLL
PCBP1	THAP11
PCBP1	SRPK1
CDC5L	PCBP1
PCBP1	GABARAPL1
PCBP1	WBP11
MYC	PCBP2
H2AFX	PCBP2
PCBP2	VCAM1
PCBP2	SRSF3
PCBP2	SF3B2
PCBP2	SNW1
CDC5L	PCBP2
PCBP2	WDR77
PCBP2	WDR83
PCBP2	GABARAPL1
PCBP2	AGO1
TCEB1	SOCS3
TCEB1	MRAS
TCEB1	SOCS5
TCEB1	UBXN7
TCEB1	ARIH2
CYP2J2	TCEB1
TCEB1	WNT7B
TCEB1	RBX1
TCEB1	CUL2
TCEB1	RCAN2
TCEB1	TCEAL1
HIF1A	TCEB1
TCEB1	PAN2
TCEB1	CPTP
TCEB1	COPS6
TCEB1	ZER1
TCEB1	SPSB1
TCEB1	FAF2
TCEB1	MED8
TCEB1	LRR1
TCEB1	RAB40C
TCEB1	SPSB2
TCEB1	ASB8
TCEB1	FEM1B
TCEB2	SOCS3
TCEB2	UBXN7
TCEB2	ARIH2
TCEB2	RBX1
TCEB2	CUL2
HIF1A	TCEB2
TCEB2	PAN2
TCEB2	ZER1
TCEB2	SPSB1
TCEB2	MED8
TCEB2	LRR1
TCEB2	RAB40C
TCEB2	SPSB2
TCEB2	FEM1B
A2M	RHEB
PSEN2	RHEB
RHEB	TRAF2
RHEB	ECSIT
MTA2	UBE3C
MYC	UBE3C
SHFM1	UBE3C
UBE3C	LRRK2
CANX	TOMM20
BAG6	TOMM20
DYNLL1	TOMM20
BAX	TOMM20
TOMM20	RNF144B
TOMM20	PINK1
TOMM20	MIEF1
IFIT3	SF3B3
DHX15	SF3B3
NCOR1	SF3B3
SF3B3	SF3B1
WBP4	SF3B3
GABARAP	SF3B3
HSPB1	SF3B3
HCK	SF3B3
VCAM1	SF3B3
ARRB2	SF3B3
EIF4A3	SF3B3
MAGOH	SF3B3
RBM6	SF3B3
KLF10	SF3B3
SNW1	SF3B3
EFTUD2	SF3B3
SF3A2	SF3B3
NEDD8	SF3B3
SF3B3	LRRK2
NUDCD3	SF3B3
SF3B3	ZNF579
CDC5L	SF3B3
RAD9A	SF3B3
SF3B3	GABARAPL1
SF3B3	MAP1LC3A
SF3B3	OSGEP
SF3B3	AGO2
SF3B3	AGO1
KIAA0020	CBX8
FN1	RSU1
GSK3B	RSU1
GCNT1	RSU1
RSU1	LRCH3
RSU1	SUGT1
CNN3	GABARAP
CNN3	SLX4
CNN3	GABARAPL1
CNN3	ATG5
MAPT	RPS6KA1
CREB1	RPS6KA1
EIF4B	RPS6KA1
RPS6KA1	YWHAB
GBP2	RPS6KA1
RPS6KA1	TTK
RPS6	RPS6KA1
RPS6KA1	SRSF5
RPS6KA1	CDC37
RPS6KA1	PHAX
SAFB	CDC37
SAFB	LRRK2
SAFB	USP45
SAFB	RB1CC1
SAFB	MAP1LC3B
SAFB	MAP1LC3A
DHX15	SF3B4
ABL1	SF3B4
NCK1	SF3B4
HNRNPF	SF3B4
SF3B4	GABARAPL2
SF3B4	SNW1
HNRNPD	SF3B4
SF3B4	PRPF8
SF3B4	DDX42
SF3B4	DDX17
SF3B4	WDR77
SF3B4	WDR83
RBM4	SF3B4
SF3A2	TCERG1
DHX15	SF3A2
SF3A2	SART1
ZNF207	SF3A2
SF3A2	SYNCRIP
SF3A2	PRPF40A
SF3A2	SF3B1
SF3A2	WBP4
SF3A2	SNRNP200
SF3A2	BCAS2
SF3A2	PRPF6
SNRPA	SF3A2
HSPA8	SF3A2
SNRPB	SF3A2
HNRNPA2B1	SF3A2
CHM	SF3A2
SF3A2	U2AF2
SF3A2	RBMX
SF3A2	HNRNPA3
HNRNPK	SF3A2
PPP1CA	SF3A2
SNRPE	SF3A2
SNRPF	SF3A2
SNRPD1	SF3A2
SNRPD2	SF3A2
YBX1	SF3A2
SF3A2	RBM10
HNRNPU	SF3A2
SRSF2	SF3A2
SRSF1	SF3A2
ILF2	SF3A2
SF3A2	SRSF9
SRSF5	SF3A2
SF3A2	SF3B2
CIRBP	SF3A2
SF3A2	RNPS1
SF3A2	SF3B4
SF3A2	SF3A1
SF1	SF3A2
SF3A2	PRPF8
SF3A2	USP45
SF3A2	PHF5A
SF3A2	SUGP1
SF3A2	CCAR2
SF3A2	AGGF1
PRCC	SF3A2
CDC5L	SF3A2
HNRNPAB	SF3A2
SF3A2	C19orf43
SF3A2	HNRNPUL1
SF3A2	DDX23
PNN	SF3A2
SF3A2	SAP30BP
SF3A2	SRRM2
SF3A2	WBP11
SF3A2	CFAP20
HNRNPC	SF3A2
SF3A2	CHERP
SF3A2	PUF60
SF3A2	CWC15
SF3A2	ARGLU1
SF3A2	ZC3H18
MYC	RBMS2
RBMS2	SRPK1
PPP1R7	STAU1
PPP1R7	TAB1
PPP1R7	SPRED1
SEC23A	GABARAP
APC	SEC23A
SEC23A	TMED10
SEC23A	GABARAPL2
GALNT1	SEC23A
NDRG1	SEC23A
CDC5L	SEC23A
SEC23A	TMED9
SEC23A	MAP1LC3B
SEC23A	GABARAPL1
SEC23A	MAP1LC3A
SEC23A	TMED3
SEC23B	GABARAP
FN1	SEC23B
CSNK1A1	SEC23B
SEC23B	GABARAPL2
SRPK2	SEC23B
SEC23B	SNW1
SEC23B	FYCO1
DHX15	SF3A1
SF3A1	RBFOX2
NCOR1	SF3A1
SF3A1	WBP4
PTBP3	SF3A1
CHM	SF3A1
EIF4A3	SF3A1
MAGOH	SF3A1
CSNK2A1	SF3A1
SF3A1	SF3A3
SF3A1	SNW1
SF1	SF3A1
SF3A1	USP30
SF3A1	HDAC11
CDC5L	SF3A1
SF3A1	MAP1LC3A
SF3A1	WWOX
HDAC6	SF3A1
ABL1	SHB
KIT	SHB
IL2RB	SHB
KDR	SHB
STIL	SASS6
STIL	CENPJ
SKIV2L	WDR61
SLC25A5	SURF1
COX6C	SURF1
SURF1	COX14
SURF1	COA1
SURF1	COA3
SURF2	WDR20
SURF2	ZNF331
MED22	MED19
MED22	MED26
CDK8	MED22
MED22	MED10
MED22	MED18
MED22	CDK19
MED22	MED17
MED22	MED9
MED22	MED29
MED22	MED11
JUN	SS18
SS18	EIF3A
SMARCC1	SS18
SS18	TTC14
SS18	NOP58
TAF5	MED26
TAF5	TBP
TAF5	TAF10
KAT2A	TAF5
TAF13	MED26
TAF11	TAF13
TAF11	MED26
TAF11	TBP
TAF7	MED26
TAF7	TBP
TAF7	WDR5
TAF7	TAF10
TAF7	MAP1LC3B
TERF2	PTBP3
H2AFX	TERF2
PML	TERF2
BLM	TERF2
TERF2	TOP3A
TERF2	SLX4
TERF2	ACD
TERF2	ATG5
TERF2	DCLRE1B
TERF2	POT1
CDK2	MAPRE2
MAPRE2	TRAF3IP1
TCEA2	TNIP1
TCEA2	CCSER2
TEAD4	CEP55
HSP90AB1	TESK1
ARAF	TESK1
PFKL	TESK1
H2AFX	TAF1C
UFD1L	TAF1C
TAF1C	TAF1D
TAF1A	JMJD6
TAF1A	TAF1D
TGIF1	STK16
A2M	TGIF1
TGIF1	RIF1
MDFI	TGIF1
TGIF1	SDAD1
TP53	NCOA2
TXNRD1	NCOA2
SLC9A3R2	PHLPP1
PDGFRB	SLC9A3R2
EZR	SLC9A3R2
MCC	SLC9A3R2
SLC9A3R2	YAP1
SMAD3	SLC9A3R2
SLC9A3R2	OTUD7B
SLC9A3R2	PHLPP2
SIAH1	SLC9A3R2
SLC9A3R2	TBC1D10A
SLC9A3R2	WWTR1
ATXN1	DIXDC1
ULK2	DIXDC1
NDEL1	DIXDC1
TRADD	IPO8
TRADD	TNFRSF21
TRADD	IPO7
TRADD	AIFM1
KRT14	TRADD
SLC25A5	TRADD
TRADD	TUBB
HSP90AA1	TRADD
HSP90AB1	TRADD
VIM	TRADD
UBB	TRADD
HSPA8	TRADD
SLC25A6	TRADD
RPS3	TRADD
CAD	TRADD
PPP2R1A	TRADD
DNAJA1	TRADD
RPS27	TRADD
NAP1L1	TRADD
RPS16	TRADD
ACTG1	TRADD
PRKDC	TRADD
SLC25A3	TRADD
CLTC	TRADD
EEF1A2	TRADD
C1QBP	TRADD
LGALS3BP	TRADD
TRAF1	TRADD
TRADD	RIPK1
RCN2	TRADD
CASP8	TRADD
KPNB1	TRADD
TRADD	CCAR2
TRADD	ATAD3A
CREB3	TRAM1
MYC	TSN
EPB41	TSN
HSPB1	TARBP2
TARBP2	NUDT18
TARBP2	AGO2
TARBP2	AGO1
TARBP2	DICER1
SF1	BCAS2
FN1	SF1
ESR1	SF1
VCAM1	SF1
SF1	RBM10
SF1	EFTUD2
SF1	SF3B4
SF1	RBM17
SF1	WDR77
SF1	WDR83
WASL	TRIP10
TRIP10	FNBP1
TRIP11	PTBP3
YWHAH	TRIP11
TRIP13	STAMBP
SCP2	TRIP13
CLN3	TRIP13
TRIP13	SNW1
TRIP13	FNDC3B
TRIP13	TLDC1
TRIP13	USP32
CDC5L	TRIP13
MED1	MED19
MED1	TADA2A
MED1	MED26
ESR1	MED1
MED1	SREBF1
CDK8	MED1
PPARA	MED1
MED1	SREBF2
MED1	MED21
KAT2A	MED1
MED1	MED10
MED1	CDK19
MED1	MED9
MED1	MED29
MED1	TRRAP
ESR1	ZNHIT3
RELA	TRIP4
MT2A	JMJD1C
TK1	JMJD1C
GADD45A	JMJD1C
MYO9A	NFKBIB
IKBKB	NFKBIB
NFKBIB	POLR1C
NFKBIB	CD3EAP
NFKBIB	TSPAN1
NFKBIB	POLR1A
NFKBIB	BAG2
NFKBIB	SLPI
NFKBIB	TUBB
EPRS	NFKBIB
HSP90AA1	NFKBIB
HSP90AB1	NFKBIB
NFKBIB	UBB
HSPA5	NFKBIB
HSPA8	NFKBIB
DSP	NFKBIB
NFKBIB	RPL35A
NFKBIB	RPL7
NCL	NFKBIB
NFKB1	NFKBIB
NFKBIB	TBP
NFKBIB	SFPQ
MCC	NFKBIB
HSPA9	NFKBIB
IARS	NFKBIB
NFKBIB	LRPPRC
MTIF2	NFKBIB
NFKBIB	IQGAP1
HNRNPM	NFKBIB
KPNA2	NFKBIB
NFKBIB	POLR2H
NFKBIB	VCP
LYZ	NFKBIB
NFKBIB	POLR2L
NFKBIB	RPL30
NFKBIB	RPL11
NFKBIB	SKP1
ACTG1	NFKBIB
CLTC	NFKBIB
HNRNPU	NFKBIB
NFKBIB	IQGAP2
NFKBIB	GIT2
NFKBIB	PDCD2
NFKBIB	TIMM50
NFKBIB	TUBA1A
NFKBIB	CCDC28A
NFKBIB	CCAR2
NFKBIB	EXOC4
NFKBIB	POLR1E
NFKBIB	POLR1B
NFKBIB	ZNRD1
NFKBIB	RASAL2
NFKBIB	FBXW11
NFKBIB	POLR1D
NFKBIB	SRPRB
NFKBIB	IKBKG
P4HB	TRIP6
STOM	TRIP6
RBL1	TRIP6
PSMC4	TRIP6
TRIP6	BCAR1
LYZ	TRIP6
RPS14	TRIP6
TRIP6	TRIP11
TRIP6	ZYX
TRIP6	SERBP1
TRIP6	AFAP1L1
TFAP2C	TRIP6
TRIP6	CMBL
TRIP6	METTL17
TRIP6	MOB1A
TRIP6	RNMTL1
TRIP6	KCTD5
TRIP6	THRAP3
PIK3R1	TPSAB1
PTPN14	LATS1
MYC	PTPN14
PTPN14	YWHAB
PTPN14	YWHAH
PTPN14	MOB1B
PTPN14	WWC1
PTPN14	SAV1
PTPN14	MOB1A
MAPRE1	CLASP2
FN1	MAPRE1
PRKACA	MAPRE1
VCAM1	MAPRE1
PRKACB	MAPRE1
IQCB1	MAPRE1
KIF2C	MAPRE1
SRPK2	ZRSR2
SUMO1	ZNF174
CDK6	ZNF174
TSC22D1	HAX1
NDUFA4	TSC22D1
TSC22D1	ZW10
TSC22D1	EMC8
MYO1B	TSC22D1
TSC22D1	MCM3AP
SNX2	TSC22D1
DPM1	TSC22D1
TSC22D1	DNAJB6
CDC45	TSC22D1
TSC22D1	TAF5L
TSC22D1	ATP5L
TSC22D1	CLPX
MYO1D	TSC22D1
A2M	TSC22D1
HSPB1	TSC22D1
RPN2	TSC22D1
SLC3A2	TSC22D1
VIM	TSC22D1
PCNA	TSC22D1
PSMB1	TSC22D1
PTN	TSC22D1
MCM3	TSC22D1
RPA3	TSC22D1
TSC22D1	LONP1
RFC5	TSC22D1
BAG6	TSC22D1
RPL5	TSC22D1
RPS9	TSC22D1
QARS	TSC22D1
ARCN1	TSC22D1
CENPF	TSC22D1
SERPINH1	TSC22D1
SSR4	TSC22D1
HNRNPM	TSC22D1
SLC16A1	TSC22D1
TSC22D1	TMEM33
TSC22D1	GEMIN4
TSC22D1	EPPK1
TSC22D1	SEC61A1
RPS14	TSC22D1
RPL38	TSC22D1
TSC22D1	EFR3A
CRMP1	TSC22D1
DYNC1H1	TSC22D1
PLEC	TSC22D1
PCBP1	TSC22D1
TCEB1	TSC22D1
TCEB2	TSC22D1
DDB1	TSC22D1
NDUFA9	TSC22D1
TSC22D1	TIMM50
TSC22D1	C19orf70
TSC22D1	TTC27
TSC22D1	SFXN4
TSC22D1	WDR73
TSC22D1	MTHFD1L
TSC22D1	SPRED1
TSC22D1	HEATR2
TSC22D1	MFN1
TSC22D1	FAM20C
TSC22D1	NUP93
TSC22D1	KRTCAP2
TSC22D1	KMT2C
TSC22D1	TOR1AIP2
TSC22D1	RB1CC1
TSC22D1	GCN1L1
USP9X	TSC22D1
TSC22D1	TBRG4
TSC22D1	C9orf9
TSC22D1	USMG5
TSC22D1	IPO9
TSC22D1	MMS19
TSC22D3	TSC22D1
TSC22D1	PHB2
TSC22D1	EHD4
TSC22D1	SLC25A22
TSC22D1	SFXN1
TSC22D1	XPO5
TSC22D1	NCOA5
TSC22D1	OSTC
TSC22D1	FANCI
TSC22D1	FASTKD2
TSC22D1	CCDC59
TSC22D1	PTPLAD1
DNMT3B	TSC22D1
SLC25A10	TSC22D1
TSC22D1	HMGXB4
TSC22D1	NRBP1
TSC22D1	XPO7
TSC22D1	C14orf1
TSC22D1	KMT2B
TSC22D1	PRPF19
TSC22D1	MAGED2
TSC22D1	HIGD1A
TSC22D1	GSTK1
TSC22D1	POLDIP2
TSC22D1	TELO2
TSC22D1	LAS1L
TSC22D1	SRPRB
TSC22D1	GMPPB
TSC22D1	COPG1
ELAVL1	RBFOX2
ELAVL1	GABARAP
ELAVL1	PTBP3
ELAVL1	FN1
ELAVL1	TOP1
ELAVL1	H2AFX
ELAVL1	VCAM1
ELAVL1	PTBP1
ELAVL1	YWHAQ
ELAVL1	NOS3
ELAVL1	GABARAPL2
ELAVL1	HNRNPK
ELAVL1	SNW1
ELAVL1	SF3A2
CDC5L	ELAVL1
ELAVL1	MAP1LC3B
ELAVL1	GABARAPL1
ELAVL1	MAP1LC3A
ELAVL1	PTBP2
ELAVL1	AGO1
LTB4R	YWHAG
CDC5L	ELF2
MYLK	NCK1
MYLK	PIK3R1
GRB2	MYLK
HNRNPR	TAB1
BAG2	TAB1
RPLP1	TAB1
POLR3D	TAB1
TAB1	TUBB
HSP90AA1	TAB1
HSP90AB1	TAB1
UBC	TAB1
PRKAR1A	TAB1
HSPA5	TAB1
HSPA8	TAB1
CKB	TAB1
HSPA6	TAB1
TAB1	LAP3
PPP2R1A	TAB1
DNAJA1	TAB1
HSPA4	TAB1
HSPA9	TAB1
IRAK1	TAB1
CASP6	TAB1
GRB2	TAB1
YBX1	TAB1
TRAF2	TAB1
FADD	TAB1
BIRC3	TAB1
SLMAP	TAB1
TRIP6	TAB1
MAPK11	TAB1
DBN1	TAB1
TAB1	MON1A
TAB1	TAB3
TAB1	MICAL1
TAB1	PTPMT1
PDCD6IP	TAB1
DNAJC7	TAB1
TAB1	MTG2
TAB1	C2orf44
TAB1	AGO3
TAB1	TAB2
TAB1	C9orf78
TAB1	XPO7
TAB1	AGO2
MAPK8IP1	TAB1
RUVBL1	TAB1
TRAF6	TAB1
HERC1	PTBP3
SLC1A5	USP19
SLC1A5	NEK6
MAPK11	SOCS3
MAPK11	MAPKAPK3
MYC	SPEG
MLF2	CIAO1
MLF2	BAG4
MLF2	AIFM1
P4HA1	MLF2
ABCD3	MLF2
MLF2	STIP1
PRKAA2	MLF2
MLF2	PMVK
MLF2	HDAC11
MLF2	MMS19
BAG1	MLF2
MLF2	HSPB8
MLF2	FAM96B
SRPK1	ZKSCAN8
AHSA1	TOMM34
HSP90AB1	TOMM34
VCAM1	TOMM34
TOMM34	CDC37
TOMM34	CDC37L1
TOMM34	CHORDC1
NCOA1	KANK2
CREBBP	NCOA1
NCOA1	PAGR1
NCOA1	GRIP1
NCOA3	NCOA1
SMAD2	MCF2L
SMAD2	EIF5B
SMAD2	MED6
SMAD2	SURF6
SMAD2	DNAJB5
SMAD2	SOD1
FOS	SMAD2
ATP1B1	SMAD2
JUN	SMAD2
SMAD2	UBC
HSPD1	SMAD2
SMAD2	TPR
SMAD2	S100A1
LRPAP1	SMAD2
SMAD2	RPL9
SMAD2	PPM1A
SMAD2	TGFBR1
SMAD2	HNRNPA3
GFER	SMAD2
SMAD2	RPS3A
SMAD2	RPL30
GNAS	SMAD2
SMAD2	SRSF11
EIF4A2	SMAD2
SMAD2	HMGN3
SMAD2	TAF3
SMAD2	PAXIP1
SMAD2	SUPT6H
SMAD2	CCDC25
SMAD2	ERC1
SMAD2	DOCK8
SMAD2	MYO18A
HDAC2	SMAD2
SMAD2	SMARCC1
SMAD2	GFM2
SMAD2	ZFR
SMAD2	FAM161B
SMAD2	NEDD4L
SMAD2	MED15
SMAD2	SORBS1
SMAD2	DOCK9
SMAD2	ZNF106
SMAD2	ESF1
SMAD2	RANBP3
SMAD2	SENP2
SMAD2	MKS1
SMAD2	MTMR4
SMAD2	TRIM33
SMAD2	TNRC6B
SMAD1	MED24
SMAD1	MED6
SMAD1	UCHL3
CCNC	SMAD1
SMAD1	NEDD4
GSK3B	SMAD1
SMAD1	TUBA4A
SMAD1	MGA
SMAD1	ZNF512B
SMAD1	ZNF251
SMAD1	MKL2
MSMO1	ATXN1
ITSN1	PHGDH
PLK1	ITSN1
AP2B1	ITSN1
ITSN1	MAPK8IP2
ITSN1	SF3B4
